borough,breed,n
Bronx,Yorkshire Terrier,767
Bronx,Shih Tzu,763
Bronx,Chihuahua,664
Bronx,American Pit Bull Terrier/Pit Bull,398
Bronx,Maltese,374
Manhattan,Yorkshire Terrier,1241
Manhattan,Shih Tzu,1155
Manhattan,Chihuahua,1041
Manhattan,Labrador Retriever,947
Manhattan,Maltese,791
Brooklyn,Shih Tzu,1250
Brooklyn,Yorkshire Terrier,1241
Brooklyn,Chihuahua,879
Brooklyn,Maltese,617
Brooklyn,American Pit Bull Terrier/Pit Bull,565
Queens,Yorkshire Terrier,1072
Queens,Shih Tzu,1069
Queens,Maltese,777
Queens,Chihuahua,722
Queens,Labrador Retriever,526
Staten Island,Yorkshire Terrier,594
Staten Island,Shih Tzu,528
Staten Island,Labrador Retriever,444
Staten Island,Maltese,357
Staten Island,Chihuahua,298
